,Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,diseased1_P,diseased2_P,diseased3_P,diseased4_P,control1_P,control2_P,control3_P,control4_P,AVE_control,AVE_diseased,FC_control vs diseased,p-value,log2FC
33,K7ERI9;A0A024R0T8;P02654;K7EKP1;K7EJI9;K7ELM9;K7EPF9,K7ERI9;A0A024R0T8;P02654;K7EKP1;K7EJI9;K7ELM9;K7EPF9,Apolipoprotein C-I;Truncated apolipoprotein C-I,APOC1,"tr|K7ERI9|K7ERI9_HUMAN Apolipoprotein C-I (Fragment) OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1;tr|A0A024R0T8|A0A024R0T8_HUMAN Apolipoprotein C-I, isoform CRA_a OS=Homo sapiens OX=9606 GN=APOC1 PE=3 SV=1;sp|P02654|APOC1_HUMAN Apolipoprotein C-I OS=Homo sap",93081.06073436924,46810.19331447352,68973.40251097508,93591.53929335398,19633.24949120362,34699.28207153806,6617.402320853394,41156.64186731818,27141.78648217335,79639.30529649588,1.201102266874805,0.009372284872364512,-1.5666504347754697
34,A0A024R0T1;Q6UWP2;A0A087WZN3;A0A087WYV4;A0A087X0R1,A0A024R0T1;Q6UWP2,Dehydrogenase/reductase SDR family member 11,MGC4172;DHRS11,"tr|A0A024R0T1|A0A024R0T1_HUMAN Short-chain dehydrogenase/reductase, isoform CRA_b OS=Homo sapiens OX=9606 GN=MGC4172 PE=3 SV=1;sp|Q6UWP2|DHR11_HUMAN Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens OX=9606 GN=DHRS11 PE=1 SV=1",70902.00183461703,74338.05980217081,95056.319238931,42711.84017609979,18994.2044772048,16607.373247182,31022.60634482783,38078.19697117486,51996.64341492757,98255.10049628827,1.917098033437115,0.001025097279906793,-1.4345497112203511
35,A0A024R0S6;Q9NZN4;B4DLA1;B3KUH4;Q8NCJ3;B4DU62;B7ZAY3;B4DE23,A0A024R0S6;Q9NZN4;B4DLA1;B3KUH4;Q8NCJ3,EH domain-containing protein 2,EHD2,"tr|A0A024R0S6|A0A024R0S6_HUMAN EH-domain containing 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=EHD2 PE=4 SV=1;sp|Q9NZN4|EHD2_HUMAN EH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EHD2 PE=1 SV=2;tr|B4DLA1|B4DLA1_HUMAN cDNA FLJ53453, highly simila",73929.06560588445,53012.61272012557,76805.02539471016,54198.71954527436,7860.125762871064,44480.27090214415,9229.187292839106,44486.24060871738,24164.34327938295,46011.0225388647,1.818677461343247,0.009320281055100174,-1.2822419933396174
36,P49840;A0A024R0L5;A8MT37;Q68D16;A0A7I2V4Q6;A0A7I2V2J2;M0QYV0;A0A7I2V2P0;A0A7I2YQK0;A0A3B3ITW1;A0A7I2V3J4;A0A7I2V5Q2;A0A7I2V379;A0A7I2YQA1;A0A7I2YQG6;A0A7I2V5G5;A0A7I2YQJ1;A0A7I2V3W5;A0A7I2V4X2;A0A7I2V5M2;A0A7I2V2P9;A0A7I2V485,P49840;A0A024R0L5;A8MT37;Q68D16;A0A7I2V4Q6;A0A7I2V2J2;M0QYV0;A0A7I2V2P0,Glycogen synthase kinase-3 alpha,GSK3A;DKFZp686D0638,tr|Q9BPW0|Q9BPW0_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP5C PE=2 SV=2;tr|H0YDU8|H0YDU8_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1;tr|A0A024R0Q7|A0A024R0Q7_HUM,78702.4082289232,98602.2802699834,48053.19789314579,67990.71103433173,33048.41570724011,10106.30845582651,20209.78205831911,36353.17244138678,46875.70974394913,101672.9762996658,0.6341165034683893,0.003418721660386861,-1.5566948904376787
37,Q59EI3;B2R8A9;A0A024R0K3;Q6ZSA3;F5H5P2;P12694;Q9UMB3;H0YH31;F5GXU9;Q658P7,Q59EI3;B2R8A9;A0A024R0K3;Q6ZSA3;F5H5P2;P12694,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",BCKDHA,"tr|Q6ZNZ8|Q6ZNZ8_HUMAN cDNA FLJ26816 fis, clone PRS06437 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R0Q5|A0A024R0Q5_HUMAN Protein phosphatase 1, regulatory (Inhibitor) subunit 13 like, isoform CRA_a OS=Homo sapiens OX=9606 GN=PPP1R13L PE=4 SV=1;sp|Q8WUF5|I",74057.90466946838,62139.50293667829,87195.0449664496,78576.391112697,43839.65416440171,20347.98579726163,45050.24038179049,10317.41724297453,29242.99186352285,66739.51126535686,1.679517521623328,0.009629920038589947,-1.336721645539266
38,M0QYZ0;M0R3F1;A8K3W4;A0A024R0J9;A0A0A0MRA5;B7Z4B8;A8K6U7;A8K5K0;Q9BUJ2,M0QYZ0;M0R3F1;A8K3W4;A0A024R0J9;A0A0A0MRA5;B7Z4B8;A8K6U7;A8K5K0;Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1;HNRPUL1,"tr|A0A8V8TQH6|A0A8V8TQH6_HUMAN Phospholipase D family member 3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1;tr|A0A024R0Q4|A0A024R0Q4_HUMAN Phospholipase D family, member 3, isoform CRA_b OS=Homo sapiens OX=9606 GN=PLD3 PE=3 SV=1;tr|A0A8V8TPY8|A0A8V8TPY8_HUMAN",66616.84909191041,48077.10718092708,90585.49881257862,74880.33430197081,10214.10767863084,11188.4424865697,40810.67012462455,17683.464864803,28878.88647731798,87747.42791335113,1.924941775925338,0.005412665786761103,-1.8100423510057944
39,H3BLW0;A0A024R0H9;Q5SQL3;J3KP92;B4DZ33;Q86Z02,H3BLW0;A0A024R0H9;Q5SQL3;J3KP92;B4DZ33;Q86Z02,Homeodomain-interacting protein kinase 1,HIPK1,tr|Q0VAB1|Q0VAB1_HUMAN Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=2 SV=1;tr|A0A024R0M6|A0A024R0M6_HUMAN Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 ,97851.17749333693,64448.14051556768,97862.93032927583,80402.5575582252,21130.95778449227,47152.84949315305,36588.50947659665,41651.08171650211,21083.83970013934,79709.29977609891,0.8273808317975963,0.00761027902502028,-1.2167982855501076
40,A0A024R0H7;Q9BQA1;H0Y711;B4DJP0,A0A024R0H7;Q9BQA1;H0Y711,Methylosome protein 50,WDR77,tr|M0R1K3|M0R1K3_HUMAN Platelet activating factor acetylhydrolase 1b catalytic subunit 3 (Fragment) OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1;tr|A0A024R0L6|A0A024R0L6_HUMAN Epididymis secretory sperm binding protein OS=Homo sapiens OX=9606 GN=PAFAH1B3 ,68769.79990809245,94861.1337613046,57849.89193320191,80557.67978751464,8332.009328034066,22403.09058352418,34248.37688499943,6047.237108112164,46356.95767640605,44114.06507874003,1.519470924039605,0.001069806388269584,-2.0882175927802016
41,A0A0A0MRF5;E7EWX6;A0A024R0G8;A7VJH3;Q8IXJ6;C9JR33;C9J3U7;F8WCF4;C9JZQ0;B5MCS1;F8WF57;F8WDM4,A0A0A0MRF5;E7EWX6;A0A024R0G8;A7VJH3;Q8IXJ6;C9JR33;C9J3U7;F8WCF4;C9JZQ0;B5MCS1,NAD-dependent protein deacetylase sirtuin-2,SIRT2;SIR2,tr|Q59EI3|Q59EI3_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B2R8A9|B2R8A9_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R0K3|A0A024R0K3_HUMAN 2-oxoisova,99507.53572835102,96466.44365603494,98766.50318360244,40494.21991441416,37805.32256184443,12846.48930522462,27568.23326092398,19353.90336321926,26246.10389464761,60981.123543986,1.141659700603793,0.005399853797158555,-1.7806035845832182
42,Q5JR08;A0A024R0C8;P08134;E9PQH6,Q5JR08;A0A024R0C8;P08134;E9PQH6,Rho-related GTP-binding protein RhoC,RHOC,tr|M0QYZ0|M0QYZ0_HUMAN Heterogeneous nuclear ribonucleoprotein U like 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=1;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U like 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=,66939.07763604098,90365.45961227216,58727.7778892763,85810.67560456875,36808.58047314277,34032.77556842525,28010.4079487422,8203.489180710305,21015.45422641379,42494.65080490278,1.981583584604047,0.006340057030996113,-1.4954427098466108
43,A0A024QZN2;Q8WXX5,A0A024QZN2;Q8WXX5,DnaJ homolog subfamily C member 9,hCG_2024613;DNAJC9,"tr|A0A024QZQ8|A0A024QZQ8_HUMAN Synaptopodin 2-like, isoform CRA_a OS=Homo sapiens OX=9606 GN=SYNPO2L PE=4 SV=1;sp|Q9H987|SYP2L_HUMAN Synaptopodin 2-like protein OS=Homo sapiens OX=9606 GN=SYNPO2L PE=1 SV=3",99020.07446760096,37949.03145397403,71551.4717487834,56872.3854961248,19026.99842402349,32430.39502909536,24268.28667427914,33579.21428904397,23413.98672314575,50950.85040550458,0.8494392121304506,0.007974260216069281,-1.2797721155356951
44,A0A024QZR0;X6RK58;A0A024QZM2;Q8TCA0,A0A024QZR0;X6RK58;A0A024QZM2;Q8TCA0,Leucine-rich repeat-containing protein 20,LRRC20,tr|Q53FJ5|Q53FJ5_HUMAN Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy) variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024QZQ2|A0A024QZQ2_HUMAN Prosaposin (Variant Gaucher disease and variant metachromatic leukodyst,96307.4004168701,55071.39026229884,92336.90965179264,92970.22012921979,34813.50279592919,6659.912630953976,46774.33531644764,32713.25441234974,36584.96494908095,40879.66629267844,1.423794782273457,0.00878629986355158,-1.4768613586153243
45,Q9P0M6;A0A024QZP6;A0A7I2V412;Q9HA11;A0A7I2YQD6;A0A7I2V3R0;A0A7I2V423;Q5SQT3;A0A7I2V2N7;A0A7I2V6E9;A0A7I2YQR8;D6RCF2;A0A7I2V583;A0A7I2V3M7;A0A7I2V3Z8;A0A7I2V522;A0A7I2V3B3,Q9P0M6;A0A024QZP6;A0A7I2V412;Q9HA11;A0A7I2YQD6;A0A7I2V3R0;A0A7I2V423;Q5SQT3;A0A7I2V2N7;A0A7I2V6E9;A0A7I2YQR8,Core histone macro-H2A.2;Core histone macro-H2A;Histone H2A,H2AFY2,"sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1;tr|B2R6X6|B2R6X6_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024QZS4|A0A024QZS4_HUMAN Peptidyl-prolyl ",35845.05016890681,84062.28742149475,64890.95392503401,73696.65971397945,13318.45049864872,17539.09089064752,43385.4254960312,33163.69620714064,43815.40069280175,87793.04817362467,0.5319041162755807,0.008672942009598023,-1.2670526076487583
46,A0A024QZS1;O96007,A0A024QZS1;O96007,Molybdopterin synthase catalytic subunit,MOCS2,"tr|A0A024QZN7|A0A024QZN7_HUMAN Chromosome 10 open reading frame 70, isoform CRA_b OS=Homo sapiens OX=9606 GN=C10orf70 PE=4 SV=1;sp|Q9NZ45|CISD1_HUMAN CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1",55944.95029468236,77019.04790840996,52924.81465245402,65190.42730647354,45919.4180935452,18539.52394175463,21657.141511495,24523.32421570879,58442.81269877821,106379.3442965761,1.438837064655514,0.005657319639957911,-1.18227740895613
47,A0A024QZS3;O14494;A0A024QZU7,A0A024QZS3;O14494;A0A024QZU7,Lipid phosphate phosphohydrolase 1,PPAP2A,sp|Q9P0M6|H2AW_HUMAN Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3;tr|A0A024QZP6|A0A024QZP6_HUMAN Core histone macro-H2A OS=Homo sapiens OX=9606 GN=H2AFY2 PE=4 SV=1;tr|A0A7I2V412|A0A7I2V412_HUMAN MacroH2A.2 histone OS=Homo sapiens,86895.96970802518,73268.97683205271,38383.34922734759,46254.88866027721,16645.09917200076,17817.82224698604,5695.547743799034,22932.7130478818,25946.50911012452,56513.70174084826,1.828966622354281,0.002670282701694213,-1.9561120353324617
48,A0A024QZ30;P31040;D6RFM5;Q0QF12;B3KT34;B4DYN5;B3KYA5;A0A494C1T6;B4DNB2;H0Y8X1;B7Z668;B7Z9R0;B7Z5M3;B7Z6J5,A0A024QZ30;P31040;D6RFM5;Q0QF12;B3KT34;B4DYN5,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,"tr|K7ES70|K7ES70_HUMAN Microfibril associated protein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=1;tr|A0A024QZ34|A0A024QZ34_HUMAN Microfibrillar-associated protein 4, isoform CRA_a OS=Homo sapiens OX=9606 GN=MFAP4 PE=4 SV=1;sp|P55083|MFAP4_HUMAN Microfibri",85410.5330608094,71589.15007464946,42916.47135494641,95683.83197747266,32533.38026250707,41334.80698238281,34592.58015351545,29715.19991177542,52114.13794392046,109477.438071833,1.54613040087026,0.008887480798689772,-1.0971394911682735
49,A6NP52;B3KN29;A0A024QZ22;O60831,A6NP52;B3KN29;A0A024QZ22;O60831,PRA1 family protein 2,PRAF2,"tr|A0A024QZ30|A0A024QZ30_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=3 SV=1;sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens ",82666.2170606376,40529.18237724697,82378.17832685608,81160.7232642551,18105.31130891189,29270.40088620428,43215.053472238,16260.93041740679,33407.88966583604,51209.0540613162,0.5509189678786983,0.001295149212828042,-1.424104691048278
50,C9JJS3;C9K0K7;E7EPA1;B2R7R5;A0A024QYY3;O60256;C9JDU5;I3L0S1;I3L331;I3L164;C9JDH0;E7EW35,C9JJS3;C9K0K7;E7EPA1;B2R7R5;A0A024QYY3;O60256;C9JDU5;I3L0S1,Phosphoribosyl pyrophosphate synthase-associated protein 2,PRPSAP2,tr|A6NP52|A6NP52_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=PRAF2 PE=1 SV=1;tr|B3KN29|B3KN29_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024QZ22|A0A024QZ22_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=PRAF2 PE=3 SV=1,77076.2919253927,99109.32905204612,86434.0895855143,38700.80564398813,24437.52583889521,45165.154932049,34233.48045712466,12039.66692019887,22190.46555288125,101088.4635327809,1.873232446382063,0.002656000425887061,-1.378719256370426
51,A0A6Q8PFF7;A0A6Q8PG75;A0A6Q8PGA4;A0A024R095;A0A6Q8PG14;A0A8I5KRC0;A0A6Q8PG30;A0A6Q8PHQ1;A0A024R0G0;A0A6Q8PEZ7;Q96S66;Q5T1P5;A0A6Q8PG68;A0A8I5KPC2,A0A6Q8PFF7;A0A6Q8PG75;A0A6Q8PGA4;A0A024R095;A0A6Q8PG14;A0A8I5KRC0;A0A6Q8PG30;A0A6Q8PHQ1;A0A024R0G0;A0A6Q8PEZ7;Q96S66;Q5T1P5;A0A6Q8PG68,Chloride channel CLIC-like protein 1,CLCC1,tr|B7ZAR0|B7ZAR0_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024QZ03|A0A024QZ03_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=3 SV=1;sp|O60826|CCD22_HUMAN Coiled-coil domain-c,53006.51817589412,86738.73315472831,49381.43537030426,97551.88374665588,28614.0394234507,13395.65264987161,38592.11323031109,12798.24440318806,35960.10815480521,115876.2645569725,1.351917845828944,0.008774608626303804,-1.6179388426580614
52,A0A024R0E4;A0A024R091;Q6PCB0,A0A024R0E4;A0A024R091;Q6PCB0,von Willebrand factor A domain-containing protein 1,VWA1,tr|A0A024QYZ0|A0A024QYZ0_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=3 SV=1;sp|P60059|SC61G_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1,50524.75401886452,56352.43568146347,34275.45718984046,88143.35854514103,18690.9009331792,41165.24346046015,19642.98641716705,23402.88249864215,43651.01742979717,63557.26076335341,0.7708630176910003,0.0009148683739775487,-1.1559400126747972
53,H0Y3T6;G3V1E2;A0A9K3Y7X5;A0A5F9UJX7;A0A024R0A9;A0A5F9UP49;A0A024R084;Q9BRK5,H0Y3T6;G3V1E2;A0A9K3Y7X5;A0A5F9UJX7;A0A024R0A9;A0A5F9UP49;A0A024R084;Q9BRK5,45 kDa calcium-binding protein,SDF4,tr|C9JJS3|C9JJS3_HUMAN Phosphoribosyl pyrophosphate synthetase associated protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1;tr|C9K0K7|C9K0K7_HUMAN Phosphoribosyl pyrophosphate synthetase associated protein 2 (Fragment) OS=Homo sapiens OX=96,61391.18653848238,31845.68821480764,94461.06803722691,95067.04009734781,13253.20294340452,44215.7265584473,15676.208937356,36318.83927421641,40753.52228504288,74890.12233082534,1.887872476123499,0.005800862078378112,-1.3691472830099292
54,A0A024R046;O00479,A0A024R046;O00479,High mobility group nucleosome-binding domain-containing protein 4,HMGN4,"tr|B7Z4W7|B7Z4W7_HUMAN cDNA FLJ56853, highly similar to Epsin-2 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|F6PQP6|F6PQP6_HUMAN Epsin 2 (Fragment) OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=8;tr|E9PBC1|E9PBC1_HUMAN Epsin 2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=1;t",74228.60485188595,33165.30690743326,91150.50368747441,54420.77865800967,13182.12352431953,33503.16904296906,37048.06496063911,42619.10542304926,54795.85448248513,84163.77446815842,1.558362758773533,0.005929399348417031,-1.0014851092198382
55,A0A024R040;P55809;Q6IAV5;E9PDW2;B7Z609;A1E286;Q9H7N8;B3KS89;Q9BYC2,A0A024R040;P55809;Q6IAV5;E9PDW2;B7Z609,"Succinyl-CoA:3-ketoacid-coenzyme A transferase;Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",OXCT1;OXCT,"tr|A0A024QYW3|A0A024QYW3_HUMAN Proteolipid protein 2 (Colonic epithelium-enriched), isoform CRA_a OS=Homo sapiens OX=9606 GN=PLP2 PE=4 SV=1;sp|Q04941|PLP2_HUMAN Proteolipid protein 2 OS=Homo sapiens OX=9606 GN=PLP2 PE=1 SV=1",70140.65216863003,90624.47226502858,35723.13223642104,58828.8639903088,14555.25998052243,41365.41708039877,15092.11892572519,48319.17866050663,56833.67530469489,72752.93217529924,0.5591402170527588,0.005369744228934136,-1.0973096223294951
56,B2RAW0;A0A024R036;P98082;B4DNN1,B2RAW0;A0A024R036;P98082;B4DNN1,Disabled homolog 2,DAB2,tr|B4DRU0|B4DRU0_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=2 SV=1;tr|B4DVU3|B4DVU3_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;tr|B4DDN4|B4DDN4_H,96542.50028562892,95290.99383478094,73953.02726436354,63010.33319851109,42459.91883601898,46836.39435541579,34338.25667761703,6140.783453695588,24986.50724813067,89931.91262793072,1.91608900952992,0.002238176148226231,-1.3411800820479536
57,Q9Y5S9;A0A023T787;A0A0J9YW13,Q9Y5S9;A0A023T787;A0A0J9YW13,RNA-binding protein 8A,RBM8A;RBM8,"tr|B7ZAB0|B7ZAB0_HUMAN cDNA, FLJ79124, highly similar to Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B7Z4X6|B7Z4X6_HUMAN cDNA FLJ51012, highly similar to Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A0",96504.33769355634,59277.01254034332,85958.72792363298,71694.71184254909,48645.94334728974,12254.9579264302,36135.2838961712,8530.537160401967,53555.92345783737,61445.0912658301,1.98150201199497,0.002244405718366607,-1.570010194685843
58,A0A023T6R1;P61326;Q96A72;F5H6N1;F5H6P7;F5H3U9,A0A023T6R1;P61326;Q96A72;F5H6N1;F5H6P7;F5H3U9,Protein mago nashi homolog;Protein mago nashi homolog 2,FLJ10292;MAGOH;MAGOHB,tr|Q96K55|Q96K55_HUMAN Transmembrane 9 superfamily member OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q8NCC4|Q8NCC4_HUMAN Transmembrane 9 superfamily member OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q8WUB5|Q8WUB5_HUMAN Transmembrane 9 superfamily member (Fragment) OS=,52351.95463132904,72939.0637155053,32751.84978887693,83215.95019227806,5926.30224331111,18038.81538111956,29693.02052149638,24753.71393175362,59393.64795849338,87223.59540118462,0.8318141627294033,0.008158331249906179,-1.6214380341375074
